start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1776119639,1776119819,normal,all,32086081,240d38d3,9221
1776119819,1776119926,crash_loop,sw-wk3,32086081,240d38d3,9221
1776119926,1776119926,transition,all,32086081,240d38d3,9221
1776119926,1776120047,normal,all,32086081,240d38d3,9221
1776120047,1776120158,edge_network_flap,sw-wk2,32086081,240d38d3,9221
1776120159,1776120159,transition,all,32086081,240d38d3,9221
1776120159,1776120279,normal,all,32086081,240d38d3,9221
1776120279,1776120417,cpu_stress,sw-wk3,32086081,240d38d3,9221
1776120418,1776120418,transition,all,32086081,240d38d3,9221
1776120418,1776120538,normal,all,32086081,240d38d3,9221
1776120538,1776120663,memory_leak,sw-wk3,32086081,240d38d3,9221
1776120663,1776120664,transition,all,32086081,240d38d3,9221
1776120664,1776120784,normal,all,32086081,240d38d3,9221
1776120784,1776120885,security_tmp_exec,sw-wk2,32086081,240d38d3,9221
1776120886,1776120886,transition,all,32086081,240d38d3,9221
1776120886,1776121007,normal,all,32086081,240d38d3,9221
1776121007,1776121129,network_chaos,sw-wk2,32086081,240d38d3,9221
1776121130,1776121130,transition,all,32086081,240d38d3,9221
1776121130,1776121250,normal,all,32086081,240d38d3,9221
1776121250,1776121380,security_suspicious_network,sw-wk2,32086081,240d38d3,9221
1776121380,1776121381,transition,all,32086081,240d38d3,9221
1776121381,1776121501,normal,all,32086081,240d38d3,9221
1776121501,1776121628,security_high_process,sw-wk3,32086081,240d38d3,9221
1776121629,1776121629,transition,all,32086081,240d38d3,9221
1776121629,1776121750,normal,all,32086081,240d38d3,9221
