start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1774295023,1774295203,normal,all,b7d0623f,8741b790,3554
1774295203,1774295337,security_suspicious_network,sw-wk2,b7d0623f,8741b790,3554
1774295337,1774295397,transition,all,b7d0623f,8741b790,3554
1774295397,1774295518,normal,all,b7d0623f,8741b790,3554
1774295518,1774295635,edge_network_flap,sw-wk3,b7d0623f,8741b790,3554
1774295636,1774295696,transition,all,b7d0623f,8741b790,3554
1774295696,1774295816,normal,all,b7d0623f,8741b790,3554
1774295816,1774295926,crash_loop,sw-wk3,b7d0623f,8741b790,3554
1774295926,1774295986,transition,all,b7d0623f,8741b790,3554
1774295986,1774296107,normal,all,b7d0623f,8741b790,3554
1774296107,1774296232,memory_leak,sw-wk3,b7d0623f,8741b790,3554
1774296233,1774296293,transition,all,b7d0623f,8741b790,3554
1774296293,1774296413,normal,all,b7d0623f,8741b790,3554
1774296413,1774296522,security_high_process,sw-wk3,b7d0623f,8741b790,3554
1774296522,1774296582,transition,all,b7d0623f,8741b790,3554
1774296582,1774296703,normal,all,b7d0623f,8741b790,3554
1774296703,1774296835,network_chaos,sw-wk3,b7d0623f,8741b790,3554
1774296836,1774296896,transition,all,b7d0623f,8741b790,3554
1774296896,1774297016,normal,all,b7d0623f,8741b790,3554
1774297016,1774297124,cpu_stress,sw-wk2,b7d0623f,8741b790,3554
1774297124,1774297184,transition,all,b7d0623f,8741b790,3554
1774297184,1774297304,normal,all,b7d0623f,8741b790,3554
1774297304,1774297431,security_tmp_exec,sw-wk3,b7d0623f,8741b790,3554
1774297432,1774297492,transition,all,b7d0623f,8741b790,3554
1774297492,1774297612,normal,all,b7d0623f,8741b790,3554
